Year,Week,Team,Score,Opponent,Opponent_score,Score_margin,Outcome,Type,Top_scoring_week,Lowest_scoring_week
2018,7.0,Dylan,147.0,Gavin,152.0,-5.0,Loss,Regular,0,0
2018,7.0,Nate,140.0,Luca,134.0,6.0,Win,Regular,0,0
2018,7.0,Hayden,135.0,Zachary,91.0,44.0,Win,Regular,0,0
2018,7.0,Luca,134.0,Nate,140.0,-6.0,Loss,Regular,0,0
2018,7.0,Matt,122.0,Cody,109.0,13.0,Win,Regular,0,0
2018,7.0,Cody,109.0,Matt,122.0,-13.0,Loss,Regular,0,0
2018,7.0,Zachary,91.0,Hayden,135.0,-44.0,Loss,Regular,0,1
2018,8.0,Matt,155.0,Dylan,111.0,44.0,Win,Regular,1,0
2018,8.0,Cody,147.0,Zachary,105.0,42.0,Win,Regular,0,0
2018,8.0,Nate,146.0,Hayden,117.0,29.0,Win,Regular,0,0
2018,8.0,Luca,134.0,Gavin,117.0,17.0,Win,Regular,0,0
2018,8.0,Hayden,117.0,Nate,146.0,-29.0,Loss,Regular,0,0
2018,8.0,Gavin,117.0,Luca,134.0,-17.0,Loss,Regular,0,0
2018,8.0,Dylan,111.0,Matt,155.0,-44.0,Loss,Regular,0,0
2018,8.0,Zachary,105.0,Cody,147.0,-42.0,Loss,Regular,0,1
2018,9.0,Luca,175.0,Cody,133.0,42.0,Win,Regular,1,0
2018,9.0,Matt,160.0,Nate,87.0,73.0,Win,Regular,0,0
2018,9.0,Cody,133.0,Luca,175.0,-42.0,Loss,Regular,0,0
2018,9.0,Gavin,128.0,Zachary,95.0,33.0,Win,Regular,0,0
2018,9.0,Dylan,128.0,Hayden,121.0,7.0,Win,Regular,0,0
2018,9.0,Hayden,121.0,Dylan,128.0,-7.0,Loss,Regular,0,0
2018,9.0,Zachary,95.0,Gavin,128.0,-33.0,Loss,Regular,0,0
2018,9.0,Nate,87.0,Matt,160.0,-73.0,Loss,Regular,0,1
2018,10.0,Luca,202.0,Zachary,126.0,76.0,Win,Regular,1,0
2018,10.0,Dylan,152.0,Nate,84.0,68.0,Win,Regular,0,0
2018,10.0,Gavin,142.0,Cody,109.0,33.0,Win,Regular,0,0
2018,10.0,Matt,128.0,Hayden,109.0,19.0,Win,Regular,0,0
2018,10.0,Zachary,126.0,Luca,202.0,-76.0,Loss,Regular,0,0
2018,10.0,Cody,109.0,Gavin,142.0,-33.0,Loss,Regular,0,0
2018,10.0,Hayden,109.0,Matt,128.0,-19.0,Loss,Regular,0,0
2018,10.0,Nate,84.0,Dylan,152.0,-68.0,Loss,Regular,0,1
2018,11.0,Matt,185.0,Zachary,116.0,69.0,Win,Regular,1,0
2018,11.0,Luca,171.0,Hayden,124.0,47.0,Win,Regular,0,0
2018,11.0,Hayden,124.0,Luca,171.0,-47.0,Loss,Regular,0,0
2018,11.0,Cody,117.0,Dylan,111.0,6.0,Win,Regular,0,0
2018,11.0,Gavin,117.0,Nate,101.0,16.0,Win,Regular,0,0
2018,11.0,Zachary,116.0,Matt,185.0,-69.0,Loss,Regular,0,0
2018,11.0,Dylan,111.0,Cody,117.0,-6.0,Loss,Regular,0,0
2018,11.0,Nate,101.0,Gavin,117.0,-16.0,Loss,Regular,0,1
2018,12.0,Zachary,145.0,Dylan,144.0,1.0,Win,Regular,1,0
2018,12.0,Gavin,145.0,Hayden,132.0,13.0,Win,Regular,1,0
2018,12.0,Dylan,144.0,Zachary,145.0,-1.0,Loss,Regular,0,0
2018,12.0,Luca,144.0,Matt,128.0,16.0,Win,Regular,0,0
2018,12.0,Hayden,132.0,Gavin,145.0,-13.0,Loss,Regular,0,0
2018,12.0,Nate,130.0,Cody,125.0,5.0,Win,Regular,0,0
2018,12.0,Matt,128.0,Luca,144.0,-16.0,Loss,Regular,0,0
