Team,Year,Points,PPG,Score Margin,Wins,Win %,Reg. Finishing Position,Finishing Position
Nate,2023,1399.0,127.18181818181819,-3.7454545454545483,6,54.54545454545454,6,7
Nate,2024,1693.2,130.24615384615385,-4.792307692307697,5,38.46153846153847,9,7
Zachary,2017,1398.0,107.53846153846153,-1.0769230769230769,5,38.46153846153847,7,6
Zachary,2018,1300.0,108.33333333333333,-43.416666666666664,1,8.333333333333332,8,5
Zachary,2019,1561.0,130.08333333333334,-5.25,4,33.33333333333333,9,7
Zachary,2020,1884.3,144.94615384615383,7.384615384615388,5,38.46153846153847,7,10
Zachary,2021,1857.4,132.67142857142858,12.371428571428572,9,64.28571428571429,2,4
Zachary,2022,1906.1,127.07333333333332,6.076666666666665,8,53.333333333333336,6,7
Zachary,2023,1331.0,121.0,-13.527272727272733,4,36.36363636363637,10,9
Zachary,2024,1714.8,131.90769230769232,3.9384615384615365,7,53.84615384615385,4,2
